area,price
5320,452000
5320,730000
2600,267000
3340,289950
1920,565000
9340,1580000
3910,636000
4070,350000
2780,320000
2880,210000
2100,245000
2600,328000
8460,985000
3340,501000
3080,315000
4180,403000
4490,550000
4312,347500
4140,365000
3180,588000
3180,605000
5690,1300000
2800,233000
4420,360000
2190,459000
4200,740000
2320,305000
2400,395000
5880,560000
3310,650000
4340,449950
2680,517500
2580,435000
1950,329999
3290,950000
2600,447000
4760,699800
2140,850000
2670,316500
5780,942500
6860,1310000
4800,856600
5660,405600
4880,565000
2240,400000
2800,330000
5460,374950
4000,405300
4120,560000
3780,824000
2200,260000
3900,760000
5530,405000
5280,429900
2260,341500
3880,465250
2200,450000
2400,390000
3000,420000
3620,269950
2970,493000
5420,370000
7960,2250000
2500,305000
2560,400000
2290,320000
4000,715000
7220,650000
3860,218000
2560,500000
4180,460000
3080,232500
3600,408200
3130,522000
5620,675000
5810,1360000
2660,249950
1500,210000
2850,429950
6400,737500
3480,710000
4200,470000
8540,1100000
2680,650000
4870,1220000
3260,422120
5980,625000
3100,385200
3380,500000
3920,308000
3750,565000
5200,581000
3900,361000
2500,345000
2020,419000
3360,347000
4440,625000
7980,2400000
5320,379000
2300,310000
2260,250000
5520,682000
2860,246500
2980,325000
4060,310950
4900,1100000
2940,287500
2940,431000
1940,226000
3520,825000
2600,175000
2520,465750
5220,659000
3020,595000
3560,350000
3800,270000
3790,662500
2760,249900
3150,324500
2700,430000
2700,419950
3800,285000
4940,332000
2620,282000
2280,320000
3240,428750
4600,330000
4000,456500
3280,352000
3060,664000
6190,628000
2690,512000
3520,254000
3800,535800
2100,287653
2700,438000
4140,450000
4800,327000
3580,370500
3440,265000
4780,450000
3040,425000
2300,166600
760,245000
1820,565000
2880,539900
4960,910000
4100,280000
2840,275000
6920,467000
3000,457500
2640,381156
3400,289999
3060,642450
2840,469950
4380,795000
6600,785000
6120,860000
6128,1100000
3060,147500
3320,390000
2040,229000
2300,185000
2130,414900
2840,200000
3600,225000
3400,720000
3630,930000
5360,1270000
4180,700000
2280,466000
2660,374000
3880,480000
6000,740000
3640,1010000
5820,395000
2180,340000
2250,209000
3420,431650
4940,980000
5360,660000
4030,730000
2520,291500
5310,905000
5140,800000
6370,839900
1960,200000
2560,300000
2500,530000
3308,314950
2820,255000
3660,550000
2100,435000
2840,234000
4100,615000
2820,205000
3150,384000
3500,324000
3200,645000
2830,570000
3840,324000
2000,270000
4240,290000
2880,250000
3320,342000
2680,255000
3830,800000
2560,451000
4170,990000
3080,288400
4140,420000
2450,359000
3990,390000
2640,300000
4020,545000
2500,288349
2850,299900
4050,891000
5490,1200000
5580,378000
2120,299995
3330,253000
3160,350000
4040,565000
1940,315000
2980,570000
7740,971000
4590,915000
4300,419000
3040,260000
4460,1320000
4860,369950
7360,1030000
2820,435000
2660,601000
2640,460500
4040,720000
6260,851000
5340,550000
3960,700000
4200,323000
2700,345500
3330,378000
4416,650000
2020,385000
1940,425000
3040,210000
5480,630000
2870,335000
2640,196500
3990,582800
2810,440000
4720,752500
2540,532500
2140,265000
2320,397500
3420,524250
5580,765000
5240,648000
4640,469500
2100,237500
2560,216000
2060,427200
3290,280000
4810,718000
3520,420000
1860,379000
1760,326100
2670,535000
3690,283000
2600,260000
3000,399000
3340,484950
4120,640000
3820,585000
3970,645000
2980,253000
1480,178500
3720,291000
3180,199950
1700,553500
2060,189950
3700,289000
3660,700000
3120,270000
2960,258000
3860,530000
2844,245000
2760,563000
4860,515000
5220,325000
4000,540000
1410,280300
2800,460000
3200,475000
4920,900000
3560,538200
2160,429000
2500,164808
3740,520000
2930,475000
2960,283000
3860,321500
6260,840000
2740,287000
1920,375000
2520,349500
2960,446450
3860,315000
1740,271310
2600,315000
2980,245000
2410,543115
2380,900000
7120,2450000
3840,554000
4160,249900
5910,768000
5740,980000
3340,395000
2960,415000
4000,380000
3120,566000
2990,218500
3080,550000
2310,512031
1640,197500
3010,470000
3120,590000
3480,465000
4080,499000
3840,515000
3160,716500
2590,410000
5900,850000
6880,1050000
4760,648000
3860,620000
11340,935000
2280,379000
2940,699000
3190,528000
3120,425000
3000,249500
8950,1040000
4480,790000
2040,399950
2820,275000
3040,550000
1460,140000
2180,250000
2820,318000
2480,505000
3800,470500
2100,360000
4160,1240000
3720,986000
1920,515000
3610,320000
3100,310000
1820,356700
3830,775000
2080,325000
3620,208000
2300,825000
4720,515000
3390,490000
5380,675000
3120,360000
3120,550000
2740,225000
6820,500000
3700,385000
6020,837700
3060,448000
4110,730000
4300,575000
3050,430000
3120,435000
2020,241000
1600,453500
1980,285000
1440,151000
12140,1570000
4540,631000
2520,285000
2100,195000
5820,817500
3620,550000
6320,1130000
3820,609850
2460,200000
5920,367000
4400,285167
2540,275000
5080,350900
6060,660000
3040,525000
3120,262000
1940,690000
7140,624000
2210,353000
6000,552500
2860,224500
1880,239000
8600,975000
7980,1200000
2760,505000
3030,302000
2260,170000
2380,195000
4110,272000
4110,369000
3000,332500
4760,515000
2710,269000
6820,1280000
3120,303000
4630,420000
2120,400000
2040,225000
2620,219000
5140,605000
3030,625000
2520,380000
3540,620000
6380,687500
2880,225500
2300,252500
3720,510000
4860,510000
3880,725000
1340,75000
1760,492000
3260,425000
4680,1960000
3660,298900
6460,699000
1400,310000
2020,350000
3870,790000
4460,305000
3140,315000
4780,267500
6480,1750000
4040,435000
5880,482500
14000,5110000
3140,439995
2700,460000
2140,194000
880,290000
3660,274700
4460,900000
8920,1150000
4020,605000
2900,359000
2800,850000
3000,505000
5000,565000
2280,585000
5800,328000
5120,749950
6120,826000
2660,535000
6600,925000
5750,875000
4100,902000
3660,423000
2340,235000
4610,545000
2460,343000
3240,334950
2920,405000
2880,220000
2790,173000
2540,655000
1760,406000
3930,632000
2680,357000
2300,361000
1540,277000
7110,630000
3700,254000
3130,472800
2190,263000
2190,510000
1920,179950
2740,525000
2520,479000
2910,651000
3730,949000
4410,392400
2680,585000
8380,460000
2040,470000
3200,245000
4560,500000
4180,455000
4640,485500
7260,1880000
1540,100000
2820,307000
6320,475000
3370,330000
2220,130000
4560,320000
4870,735000
2370,365000
2400,234000
3420,211000
5400,680000
5600,457000
3280,349000
3240,360000
5060,350000
1980,208000
1580,250275
1580,435000
3270,270000
3300,438000
3960,659000
3650,645000
5580,685100
4200,350000
3680,375000
2700,170000
6060,880000
3960,410500
7380,780000
6664,1230000
3020,449000
3110,546000
2820,317000
2540,276900
4040,399000
4320,495000
3600,258000
4350,600000
2240,265000
4570,321000
3840,682000
3440,295700
4300,609000
8100,995000
4020,530000
5020,614000
4270,390000
3380,467000
5360,484000
2480,340000
4400,302495
2600,532500
4200,441500
4210,470000
8500,2300000
4800,590000
4070,320000
1720,363000
4700,747500
5260,750000
3780,831000
3400,403000
4940,445000
2500,345000
6220,2260000
3060,371025
1920,355000
2480,270000
4880,425000
3940,364808
2780,320000
5926,325000
4700,350000
2740,170000
1920,255000
2010,550000
9860,835000
1950,420000
4380,925000
2420,389250
3900,748000
2730,284000
2660,588000
3360,372500
3800,285000
3140,360000
2520,275000
2700,428000
6020,847000
2020,316000
4100,375000
2840,533000
7680,556000
3420,225000
4230,537250
2360,255000
5900,530000
12390,5300000
4300,595000
4200,548000
2750,234975
3050,600000
3500,432000
2760,455000
2720,279950
3200,267500
3680,620000
1660,110000
3250,625000
1820,389000
4240,1200000
5020,788500
3700,567000
4560,515000
4020,605000
4904,430000
3100,805000
4160,567500
2580,647500
3700,495000
6740,825000
5460,435000
2600,445950
6080,960000
3920,780000
3040,274500
5230,729953
2230,464950
4700,620000
6200,735000
3440,450000
3250,450000
4320,842500
3040,360000
4540,585000
3000,461000
2270,345000
4960,1080000
4540,643000
5640,690000
2400,282000
3120,549000
3870,815000
7500,2200000
4660,700000
7050,933399
2880,290000
3300,372000
2040,450000
3962,303700
4880,672000
2300,334000
2240,260000
2800,749950
4760,330000
5060,830000
5580,1130000
2470,320000
3100,260000
2670,225000
1280,279200
4720,520000
3720,505000
2500,234000
4940,503000
4130,606000
2010,433500
4350,250000
4240,719000
3540,381000
4990,267000
2050,275000
5480,651000
1900,439000
2260,325000
1760,490000
4806,519900
6820,545000
10640,1060000
2850,542000
3620,465000
2400,408000
4120,292000
2500,253000
1820,280000
5120,658588
3120,635000
4480,439000
2520,300000
2720,345000
4200,283500
3570,425000
3770,685000
4720,750000
2560,245000
4380,585444
5480,706000
4460,445000
3300,241000
3540,1180000
2550,530000
2560,350000
6380,1700000
2560,389000
4530,799000
6060,1400000
1840,340895
5460,780000
2640,350000
5240,470000
6360,914600
5800,354000
3800,470000
2920,715000
1520,265000
6470,2540000
3060,640000
3860,290000
5960,480000
3160,535000
4340,907000
2710,459000
5910,1360000
2540,264950
3520,352950
3740,491500
6600,1230000
2400,369500
4180,566000
2710,290000
14720,5350000
1740,180000
2020,215000
2020,302000
3020,352500
2660,235867
3520,500000
3600,382000
2680,515000
1320,250000
3650,672500
6040,755000
3000,707500
2520,459000
2180,140000
1940,495000
6380,757000
6380,765000
3780,359000
2100,440000
2530,400000
2550,652000
2100,260000
5460,1330000
3080,519500
3270,650000
4200,280000
3460,515000
3000,400000
4760,652100
4360,235000
3680,701000
4682,640000
3380,455800
4980,504750
4880,483000
1840,530000
2060,250000
3260,229950
8420,884744
2690,514000
3340,532000
5320,423000
1640,420000
3460,521000
4720,577000
1940,425000
4920,495000
5380,340000
3250,499950
5840,1220000
5480,720000
2710,249000
2680,206135
4000,300000
6300,612000
7780,1100000
2440,230000
3530,850000
4710,355000
5040,442000
6120,399000
4780,360000
2640,390000
4550,413000
1400,190000
4420,432900
4360,621138
3630,270000
3580,610000
2680,500000
4920,715000
2940,264000
3300,550000
3380,337000
1940,170000
3160,405000
5080,775000
2770,425000
4300,713000
3510,555000
6520,810000
7660,1250000
3660,819000
3100,409900
3560,935000
3000,657500
7490,900000
5960,932800
2980,391000
4220,420000
11716,1300000
3020,415000
3420,350000
2060,375000
3480,860000
3330,495000
3460,250000
3980,365000
2750,503000
2200,150000
2460,450000
5180,355000
2900,245000
2360,265900
3040,299000
4720,957500
2240,343000
3292,307500
8420,937500
4100,610000
2900,720000
3780,610000
3300,434500
5340,602500
3880,607010
2840,610000
7440,828500
2200,199990
3060,294000
6020,789500
7000,797000
6200,539950
3170,284950
3800,776500
3910,525000
3700,303000
6020,722080
2120,140000
2120,235000
3220,440000
3960,605000
2270,380000
2510,352000
3630,420000
5180,1180000
3700,1380000
3000,300000
9480,1150000
2870,453500
3840,443500
2300,332000
4640,655000
2840,475000
2760,372500
4390,1050000
2450,500000
4600,900000
2140,327500
3580,390000
3020,451101
2680,455000
6700,650000
4410,895000
3860,800000
5100,703770
2640,249950
1880,512000
5460,780000
5640,336000
3330,285000
2200,229900
3460,667500
3120,378000
4060,454000
5100,537500
3100,425000
3520,290000
2540,349500
2080,370000
3240,549500
1420,245000
2140,208000
3480,248000
10900,610000
3340,550000
6020,750000
2680,192000
1580,169317
6190,1200000
3060,880000
1860,210000
2550,180500
3980,540000
4600,520000
2440,177500
3570,415000
3030,495000
3780,325000
2660,440000
2680,411000
6100,810000
3060,561750
4760,835100
3230,450000
3300,238000
3020,299000
2200,570000
4380,340000
2800,450000
3130,272750
3860,520000
1980,284950
2960,255000
2400,231500
6000,415000
7008,330000
2600,365000
2660,425000
2970,400000
4480,335000
2300,342000
4680,490000
3640,331500
3460,960000
6700,720500
6210,830000
2480,662990
4680,220000
2820,349950
2820,550000
3540,396000
5640,635000
2040,293000
3380,339000
3660,285000
5460,775000
3200,224000
7580,2250000
2400,165050
2460,275000
4680,445000
4300,510000
6080,1230000
2670,390000
3740,460000
4000,700000
6100,874150
4440,470000
4000,374000
2420,510000
2280,467000
4880,576000
3120,196440
6420,825000
1860,281000
3564,326000
3480,340000
5580,440000
5860,749000
2460,340000
4000,561000
2680,270000
2080,600000
2240,219900
6040,617000
3640,469000
2740,229000
5420,1270000
2930,365000
5300,429000
5700,550000
3040,453000
2360,187500
3520,520500
2560,300000
5490,799000
4940,338000
3400,800000
1770,360000
4200,442500
2600,700000
5010,830000
3260,360400
2680,345000
3260,300000
2480,350000
4040,368000
3520,264000
4870,435000
4120,200000
4300,620000
8550,1680000
2100,337000
8560,1930000
3680,544500
1360,252000
4680,445000
4140,379500
2820,189950
1900,469000
4420,600000
5860,785000
5220,372000
7760,445000
5320,508000
3880,780000
5020,541100
5320,729000
3420,397000
2640,451555
1920,300000
2980,416000
1760,490000
5880,480000
1600,368000
9140,1040000
3940,545000
6860,850000
7080,550000
4480,600000
4410,535000
5320,599950
4080,531000
4420,530000
6430,597326
6900,805000
4660,390000
3240,487250
2060,301000
4780,1180000
3900,299000
8040,2350000
4700,400000
5040,467500
4860,305000
2680,210000
2020,300000
3100,327500
2420,269000
5080,975000
2300,355000
2400,712000
5920,883000
1680,190000
2730,443000
7500,920000
3390,285000
3120,901000
3450,552500
1720,256000
3440,341000
4180,279000
4260,686000
2600,225000
2440,215500
3940,950000
4810,503000
5220,780000
2860,212000
4040,580000
4260,465000
3440,206000
4500,615000
3280,519000
8260,1140000
5200,330000
3840,240000
4120,574000
11420,930000
5440,850000
2580,415000
3700,480000
3880,300000
5140,439000
2320,450000
5320,589000
2520,477000
3090,587500
6360,1320000
6760,1430000
4580,700000
2360,275000
2820,367500
4520,453250
3300,607000
3860,255000
2070,501000
1970,450000
4400,360000
2760,460000
3540,753000
1640,389950
2060,469000
3760,550000
4650,565000
2200,189650
5970,1530000
2680,260000
2830,243000
5860,1100000
2660,249000
3720,720000
6660,905000
4220,824500
4370,762500
3480,580000
3680,380000
1960,805000
2480,520000
10320,1570000
2340,175000
3520,353500
3630,500000
2660,386500
2300,210000
2540,439500
6440,315000
3660,339000
3630,655000
4340,740000
3800,685000
4440,550000
3040,405000
4050,765000
3820,625000
4200,207000
4200,370000
2610,475000
1980,365000
3530,411800
6700,668000
4680,618000
3690,247500
3120,345000
3400,616300
2660,348000
3260,425000
4580,850000
5660,820000
6380,832000
2980,835000
3260,350000
4560,349000
5010,1130000
3180,320000
2500,150000
3020,340000
6560,785500
6724,410500
4400,580000
1660,345000
3920,550000
5160,449500
4300,300000
7020,915000
7620,1580000
3030,599000
3740,755000
2500,400000
1960,133000
2210,330000
2200,330000
2040,375000
4060,485000
3060,470000
4670,1050000
2920,548800
1800,315000
5130,590000
4760,439950
4500,325000
1760,400000
5540,685000
2680,339950
3320,315000
3420,411753
2660,577000
3060,500000
2880,210000
4040,640000
3740,460000
1240,265000
10264,740000
2480,230000
3350,315000
3820,432000
3060,467000
5600,255000
2470,316500
2440,190000
2900,490000
3980,378000
7700,598800
3200,333800
5840,690000
2490,320000
5600,1250000
3120,335000
6100,840000
6060,608250
4520,550000
2520,240000
6740,998000
2980,275000
2680,284200
7580,1720000
7490,2400000
8300,930800
4430,930000
2460,215000
2016,480000
2320,483945
2480,347000
2480,232500
2960,390000
3570,550000
4680,590000
1920,420850
3670,345000
3940,429800
3060,302000
3580,800000
3400,250000
3990,605000
3900,412000
2680,252000
2260,375000
2960,725000
5910,471750
4040,490000
1600,439000
3540,355000
1880,250000
4520,780000
1780,409000
1720,420000
1360,200000
4260,830000
4780,695000
6976,815000
2080,210000
4530,635000
4880,562500
5200,402500
3120,555000
3980,310000
5680,500000
4240,430000
5280,1600000
3120,627500
4660,335000
5130,962000
3460,299000
6220,399950
2460,322000
1900,430000
3780,307000
2020,194000
2020,180000
3510,465000
4920,722500
2020,470450
3300,280000
2880,176250
3030,560000
4760,830000
2700,276900
3320,625000
5120,1020000
2180,463500
6220,485000
2760,272000
2580,305000
3960,760000
1740,387500
4940,352000
3630,507000
1540,156000
2710,580000
4120,630000
3080,275000
5400,835000
4760,340000
1440,329350
8140,1480000
2500,475000
4380,719950
1620,235000
3760,875000
3480,380000
2960,325000
4240,475000
1800,152900
2380,210000
1760,350000
4200,505000
3400,464900
4310,650000
2450,369950
3060,250000
3060,320000
8460,2530000
5060,340000
2020,440000
2400,219950
5440,940000
2960,399950
4680,1570000
3320,528000
3500,545000
3360,575000
3020,235000
3580,272000
3440,380000
2560,195000
3380,297000
4380,349000
1420,320000
3780,319990
2820,439900
4030,429000
3080,272500
2700,400000
2760,462000
1780,510000
3800,550000
2480,150000
2940,460000
4180,632500
3300,361000
2160,437000
5400,370000
7680,884250
2400,225000
1740,235000
4630,767500
3120,1200000
4820,715000
3680,417000
2780,199000
5240,875000
2740,545000
1900,192500
6180,822500
3980,800000
4140,1250000
11540,3850000
2920,295000
3020,419000
7790,1200000
6860,750000
3400,502000
3960,1030000
2400,398500
3700,700000
3020,248000
3200,800000
5280,383000
4970,688000
2930,521000
1980,365000
3610,491000
3430,643000
2560,279000
3060,583500
3980,310000
2520,310000
2800,280000
3740,272000
5720,870000
3180,307000
2510,490000
3220,399950
6330,1640000
8060,989000
2820,264950
3500,491500
4240,345000
4620,339900
4260,852000
4870,585000
4430,723000
4160,594000
2740,405000
5580,725500
3480,800000
10210,1330000
3600,180500
3600,325000
2380,235000
1720,330000
3830,678500
3960,463000
1340,250000
2820,655000
2980,239900
1960,185000
5120,1740000
3050,251700
2880,400000
3440,735000
5000,1700000
1040,82500
6020,765000
3560,292500
4380,270000
2600,415000
3670,950000
4340,353000
3580,670950
2230,280950
3700,585000
2960,525000
3220,605000
5900,1010000
2080,245990
5620,535000
2020,410000
4500,550000
3600,665000
4290,455000
3560,440000
3840,332000
3720,280000
2610,570000
2460,250000
2176,238000
1500,265000
2380,306000
3180,345000
5020,765000
5180,346300
4160,342500
5360,501000
2970,270000
3550,638000
2100,460000
4240,760000
5780,1090000
2080,234000
5380,1650000
4040,488000
4900,1550000
4060,499000
2900,150000
4800,333000
4730,700000
2680,275000
2760,330000
3700,360000
2440,467000
4110,568000
6440,605000
6380,750000
7060,760000
3290,265000
3440,490000
5700,360000
3560,311750
3300,399000
5540,347000
8980,1680000
6220,585000
4720,340000
4360,612000
3820,230000
4520,604000
3540,250000
2920,258500
3550,783000
4510,1050000
6440,760000
2280,276000
3320,550000
2860,398000
3440,775000
6260,1030000
3240,327000
6200,564500
3000,782000
5640,398000
3700,257000
3140,235000
3850,453000
1840,535000
3200,275000
5260,665000
4560,670000
2550,465000
2320,210000
4080,265000
3100,426000
3280,529219
3340,600000
7680,875000
3600,608000
3320,220000
9610,1760000
3920,295450
1680,315000
2900,205000
2920,310000
3900,1000000
5820,525000
3010,284000
3620,510000
2520,405000
3940,509950
4180,600000
6020,990000
2260,280005
3900,700000
2060,330000
2930,340000
2870,468000
7510,1340000
3200,515000
3740,245000
2440,265000
5440,372400
2480,390000
2040,208000
1770,273000
5390,455000
3500,270000
3740,618000
3160,213550
4680,210000
10660,2750000
3600,403500
2600,235000
2640,287500
2540,546800
2140,183000
5120,560000
2560,299500
3320,610000
3060,288350
1800,500000
3330,625000
2720,418000
3920,660000
4600,775000
2880,429500
3220,569000
3120,250000
2620,225000
4900,530000
1820,306000
3160,517100
2910,354950
2080,348000
3980,522250
2720,275000
3200,390000
2640,260000
3870,585000
4410,605000
4600,342000
7300,900000
2410,252000
4800,357000
1880,370000
2040,322500
3360,210000
2680,290000
7920,860000
5300,302000
