price,sqft_living,sqft_lot,sqft_above,sqft_basement
453246,2010,2287,1390,620
675000,2140,2278,2140,0
199000,1320,17390,1320,0
220000,2020,7840,1010,1010
452000,2590,10002,1340,1250
382500,1190,4440,1190,0
519950,1170,1249,1170,0
665000,1110,3200,1110,0
527700,2820,9375,1550,1270
205000,1610,8579,1010,600
420000,1060,8097,940,120
500000,2030,8517,1380,650
921500,3670,315374,3670,0
890000,2550,4000,2370,180
430000,2420,60984,2420,0
258000,2260,12500,1130,1130
511000,1430,3455,980,450
532170,1360,3090,1360,0
560000,1110,5000,1110,0
282950,1250,8200,1250,0
2.25E+06,5180,19850,3540,1640
350000,700,5100,700,0
215000,1180,7669,1180,0
650000,3960,25245,2500,1460
320000,2640,7500,1620,1020
247000,1270,7198,1270,0
320000,1760,11180,1760,0
255000,2060,8632,1030,1030
438000,1780,9660,1780,0
900000,3400,16603,3400,0
441000,1910,7280,1160,750
420000,2020,38332,1010,1010
370000,1580,7000,1180,400
269950,1340,7250,700,640
807100,2680,4499,2680,0
653000,2680,9750,1610,1070
371500,1370,8336,1370,0
284000,1560,21000,1560,0
272000,2160,7140,1670,490
313000,1340,7912,1340,0
917500,3880,35003,2570,1310
673000,2590,8190,2590,0
425000,1120,1100,820,300
399950,1970,5400,1320,650
385000,1220,4800,1220,0
269950,1950,7560,1320,630
330000,1350,8220,1060,290
260000,1670,5797,1670,0
470000,2380,5125,1680,700
589000,2440,9600,2440,0
163500,1050,3419,1050,0
835000,3130,13412,2140,990
1.10E+06,4090,12850,2090,2000
269000,1490,10000,1100,390
560000,1900,8744,1900,0
615000,1330,2400,1330,0
585188,2230,10026,1430,800
305000,1650,9480,1220,430
166950,1190,8820,1190,0
799000,2140,9897,2140,0
400000,2180,7508,1420,760
230000,1060,10228,1060,0
256883,1690,5025,1690,0
423000,1970,6480,1130,840
465000,2150,4084,2150,0
440000,1910,66211,1910,0
385000,1350,155073,1350,0
210000,860,11725,860,0
297000,1940,14952,1940,0
470000,1010,5000,1010,0
226500,1300,7370,900,400
274250,910,8450,910,0
840000,2480,11010,1630,850
677900,2440,4587,2440,0
425000,1010,5864,1010,0
180250,900,9600,900,0
464000,2300,3404,1600,700
320000,1550,7579,1550,0
625504,1270,1566,1060,210
592500,2240,12032,2240,0
465000,2714,17936,2714,0
477000,1720,6270,1720,0
280000,850,16400,850,0
1.51E+06,3300,33474,1870,1430
445838,2250,5692,2250,0
1.07E+06,3900,14864,1950,1950
467000,1320,10800,1320,0
686000,2760,6440,2760,0
279950,1750,9750,1350,400
527000,2330,19436,2330,0
325000,2220,16020,1780,440
328000,2020,8379,2020,0
390000,1250,7500,1250,0
479950,1510,6516,1510,0
264950,1720,9753,1120,600
235000,1430,15246,980,450
516500,1480,4729,1480,0
655000,1450,15798,1230,220
500000,2280,15347,2280,0
315000,2940,7350,1780,1160
213000,1000,10200,1000,0
475000,2480,5280,1620,860
1.03E+06,3760,28040,3760,0
416000,2220,94300,1640,580
410000,1970,4740,1670,300
800000,3830,221284,3530,300
472000,4410,14034,2350,2060
225000,1430,8505,1430,0
210000,830,6000,830,0
455000,1430,5000,1430,0
225000,1300,8316,1300,0
480000,1030,3060,790,240
363000,2740,11872,2740,0
2.40E+06,3650,8354,1830,1820
181000,720,5120,720,0
250000,2010,7312,2010,0
481000,1560,3000,770,790
260000,1810,7209,1240,570
455000,3360,7685,3360,0
415000,1510,36224,1510,0
349500,1400,3538,800,600
245000,1730,7442,1730,0
592500,1420,9191,1420,0
385000,2360,7620,1180,1180
315000,1580,11455,1200,380
255000,1230,10170,1230,0
693000,2460,4425,2460,0
780000,1660,4400,1460,200
237000,1270,8470,1270,0
525000,2100,40510,1320,780
425000,770,5040,770,0
369900,760,10079,760,0
290000,1700,7280,1700,0
285000,1120,10701,1120,0
415000,1070,4500,1070,0
272500,2070,9900,1420,650
2.90E+06,5050,20100,4750,300
1.37E+06,5310,57346,5310,0
436000,1040,7538,1040,0
210000,1700,11390,1700,0
236000,1300,5898,1300,0
331000,1080,1306,580,500
365000,2653,4510,2653,0
450000,2290,16258,2290,0
770000,3820,26300,2850,970
455000,2210,49375,2210,0
405000,2390,6000,1240,1150
304900,2600,11325,1610,990
170000,860,5265,860,0
2.05E+06,3830,8480,2630,1200
780000,3500,7048,3500,0
330000,2420,13959,1740,680
370000,2720,8666,2720,0
467000,2500,13500,1850,650
405000,1670,6720,1140,530
675000,2900,10300,1450,1450
500000,1640,14100,1140,500
389999,1890,15770,1890,0
630000,2950,9025,1780,1170
360000,2160,9528,2160,0
580000,3280,11060,2270,1010
550000,1970,4166,1270,700
879000,3360,22111,3360,0
265000,1320,8959,1320,0
446500,2650,7286,2650,0
404000,2030,8880,1330,700
267500,1590,11914,1090,500
3.08E+06,4550,18641,2600,1950
335000,2440,7632,2440,0
576000,1940,9000,970,970
208633,2040,3810,2040,0
315000,2200,8750,1120,1080
725000,1920,3300,960,960
550000,1800,7750,1400,400
610750,2180,7297,2180,0
550700,1010,5000,1010,0
665000,3320,10574,2220,1100
834000,2370,4000,1980,390
201000,1660,78408,1660,0
2.38E+06,3650,9050,3370,280
1.38E+06,4290,12103,2690,1600
1.40E+06,4290,12103,2690,1600
305000,1950,7700,1350,600
487000,2590,14052,1720,870
390000,1930,64904,1930,0
548000,1470,3864,1170,300
268750,800,8775,800,0
819900,3150,7119,3150,0
520000,2030,16200,2030,0
230000,1450,11204,1450,0
240000,1510,10248,1510,0
232000,1240,12092,960,280
240500,1240,12092,960,280
274975,3030,45004,3030,0
740000,2050,4400,2050,0
186375,1000,7636,1000,0
790000,2370,10289,1590,780
880000,2800,6750,1890,910
279000,2240,11180,2240,0
295000,1810,10530,1810,0
640000,1070,5000,1070,0
940000,2490,9525,2490,0
260000,1960,5238,1960,0
559900,2930,5569,1860,1070
791500,1510,3500,1510,0
265000,1420,8250,1420,0
245000,1740,11547,1740,0
485000,2560,43995,2560,0
684000,3040,8414,2420,620
425000,2500,6840,1300,1200
309600,1275,20000,1275,0
552250,2580,5823,2580,0
165000,1000,7134,1000,0
239900,1000,7134,1000,0
320000,1070,32633,1070,0
206600,1390,13464,1390,0
387000,2500,7690,1250,1250
299000,560,12120,560,0
855000,2270,10460,2270,0
315000,1900,14400,1300,600
437500,990,3120,790,200
252000,1550,19800,1050,500
375000,2200,7475,1100,1100
300000,1910,4862,1910,0
420000,1750,9600,1750,0
900000,1330,77972,1330,0
679900,2440,5750,1980,460
463000,1640,29970,1640,0
380000,2760,11340,2760,0
329500,1820,7912,1820,0
604950,2110,5608,1340,770
795000,3040,9570,1640,1400
465000,1840,40438,1840,0
673000,2990,10400,2990,0
810000,3520,15420,3520,0
785000,2440,69415,1910,530
338000,2090,7500,1370,720
280000,1430,7222,1430,0
315000,2180,10754,1100,1080
530000,2180,10754,1100,1080
380000,3450,9914,3450,0
297000,1450,7562,1450,0
730000,3230,7331,3230,0
450000,1640,13500,1110,530
275000,1590,7750,1060,530
595000,2020,2849,2020,0
435000,1300,3348,1300,0
270000,1380,209959,1380,0
950000,4040,14338,3030,1010
389000,2130,5337,2130,0
560000,2550,7800,1580,970
1.35E+06,4800,14984,3480,1320
799000,2510,11585,2510,0
365500,1410,9600,1410,0
252350,1650,7352,1160,490
403950,2120,13780,2120,0
385000,2040,10726,1380,660
345000,1550,7620,1550,0
490000,1980,3128,1980,0
330000,1600,26977,1600,0
927000,3300,12090,3300,0
1.12E+06,3840,16619,3840,0
330000,1220,10000,1220,0
530000,2720,8800,1500,1220
365000,1940,25600,1940,0
378750,2160,3000,1260,900
269900,1530,8750,1530,0
557000,1710,2096,1290,420
360000,3730,16980,2150,1580
352000,940,5000,940,0
437000,1750,22357,1750,0
322500,1820,6753,1820,0
650000,1510,2000,1330,180
450000,1290,1213,1290,0
278500,1570,5250,1570,0
364950,1930,6957,1930,0
840000,2840,40139,2840,0
268000,1550,8134,1550,0
517534,833,143947,833,0
632925,2990,32239,2990,0
577500,2000,7251,2000,0
339000,2390,7480,2390,0
570000,2910,37461,1530,1380
563500,2085,174240,1610,475
423000,2200,9351,1290,910
355000,1860,5028,1860,0
1.55E+06,6070,171626,6070,0
482000,950,3960,950,0
625000,1600,9135,1600,0
538000,2250,11632,2250,0
380000,2280,10255,2280,0
375000,940,5120,940,0
245000,1530,8500,1030,500
310000,2190,27260,2190,0
1.30E+06,2350,15021,1770,580
397000,1440,7680,1200,240
365000,2200,4052,2200,0
328500,2290,8250,2290,0
988000,4040,19700,4040,0
1.00E+06,2610,3277,1920,690
237000,1490,2138,1490,0
525000,2450,5280,2450,0
749000,1710,9627,1440,270
722500,4870,11800,3470,1400
843000,3130,8750,3130,0
438000,1270,1372,1270,0
578000,2120,10875,1540,580
227950,1670,8230,1670,0
196000,2070,11576,2070,0
641000,1420,5332,1070,350
350000,1250,219978,1250,0
205000,940,7980,940,0
400000,1920,9102,1920,0
1.03E+06,3545,9816,2610,935
505000,1260,5460,1260,0
475000,2340,7200,1300,1040
520000,2590,9263,1440,1150
1.45E+06,3970,24920,3260,710
333500,1220,9732,1220,0
232000,1400,10403,1400,0
691100,2360,16117,1710,650
811000,1870,9897,1870,0
551000,2830,5802,2830,0
496500,2260,3640,2260,0
705000,1970,20978,1770,200
578000,3140,9225,1770,1370
255000,1240,8659,1240,0
1.05E+06,3450,7832,3450,0
348000,2570,8491,2570,0
230000,1510,3413,1510,0
359500,2390,11250,2390,0
330000,980,7000,980,0
80000,430,5050,430,0
465000,1480,6360,1480,0
325000,1850,7324,1850,0
340500,2270,28025,1920,350
342500,1810,5192,1810,0
290900,1610,17600,1610,0
868700,3840,6161,3840,0
1.20E+06,4110,8400,3130,980
1.15E+06,4190,10259,3150,1040
859900,3390,6298,3390,0
520000,1890,3006,1890,0
460000,1610,2527,1080,530
438924,1050,4590,850,200
315000,630,6550,630,0
590000,2910,10650,1780,1130
378500,1700,8640,850,850
328500,1950,8130,1950,0
849950,2990,9773,2990,0
525000,1350,6000,900,450
1.39E+06,4860,181319,4860,0
295000,2160,7725,1460,700
1.07E+06,4860,11793,3860,1000
207950,890,5000,890,0
699900,2810,7302,2810,0
1.28E+06,3400,9500,3400,0
452000,1580,7350,960,620
370000,1680,5036,1680,0
232000,1300,11230,1300,0
669950,2820,14062,2380,440
397500,1510,6710,1070,440
490000,1230,1391,870,360
725000,2110,4140,1710,400
299000,3080,19635,1610,1470
625000,1490,5750,1190,300
437500,2120,4500,2120,0
650000,3180,5438,3180,0
475000,1490,3825,860,630
342000,1930,11947,1930,0
1.20E+06,2770,7800,2770,0
280000,1670,11610,1670,0
240000,1330,7200,1330,0
529000,1210,3328,1210,0
442000,1190,5100,1030,160
615000,1540,6872,820,720
1.49E+06,4030,10800,4030,0
585000,2430,7559,1580,850
480000,2600,7787,2600,0
1.10E+06,4410,57063,4410,0
290000,1330,8184,1330,0
615000,1900,5000,950,950
300000,1100,7680,1100,0
308000,1980,39150,1580,400
750000,2400,7745,2400,0
2.25E+06,4760,8036,3390,1370
890000,3180,194278,3180,0
288000,1190,7560,1190,0
190000,630,6000,630,0
515000,2530,5105,1520,1010
235000,1690,11054,1690,0
275000,940,5000,940,0
727500,1240,9119,1240,0
650000,3040,6587,3040,0
1.60E+06,6050,230652,6050,0
365000,1590,7085,1590,0
662000,2500,36947,2500,0
270500,1780,7848,1320,460
200000,1360,1898,1360,0
970000,4740,76230,4740,0
160000,1010,9600,1010,0
204000,1040,7405,1040,0
358000,1610,6655,1610,0
452000,1570,8268,1570,0
595000,1510,4000,1010,500
249000,1360,6082,1360,0
346900,1970,5106,1970,0
2.13E+06,5403,24069,5403,0
280000,1560,4350,1560,0
318888,2320,12000,2270,50
530000,2120,40518,2120,0
375000,2120,18500,2120,0
910000,3350,29242,3350,0
782000,2380,9614,2380,0
259950,1070,649,720,350
315000,2300,18360,1560,740
215000,1320,8865,1320,0
705000,2180,10221,1140,1040
1.45E+06,4380,6320,3580,800
451000,1790,9813,1790,0
261000,750,8125,750,0
396000,1300,8280,1300,0
725000,2990,29170,2990,0
1.95E+06,4640,15235,2860,1780
238000,1400,7242,1400,0
750000,2750,9563,2750,0
331500,2050,10271,2050,0
460000,2230,108900,1410,820
404950,2340,217014,2340,0
880000,2870,5163,2870,0
863000,4120,22370,4120,0
638700,2080,9162,1370,710
435000,1840,5680,1840,0
260000,1180,5350,1180,0
671500,2160,4000,1530,630
610000,1180,3400,1180,0
405000,1160,15029,870,290
338900,1830,5612,1830,0
720000,3200,7708,3200,0
442000,2560,5445,1760,800
650000,2550,5040,2550,0
263500,1330,9917,1040,290
300000,1220,75794,1220,0
266000,1805,3402,1805,0
930000,6050,84942,4150,1900
530000,2320,5493,2320,0
180000,1384,8960,1384,0
619000,2720,6439,2720,0
264000,1820,10608,1820,0
730000,2130,4920,1530,600
439000,2060,10070,2060,0
268500,1420,7500,1080,340
330000,1510,15744,1510,0
640000,2160,4000,1960,200
900000,3180,12600,3180,0
370000,2110,13300,2110,0
685000,2060,2900,1330,730
505000,1830,217800,1010,820
265000,1820,32666,1820,0
290000,1610,2937,1610,0
296000,1780,3600,1780,0
360000,1840,9611,1840,0
240500,1460,10584,990,470
372500,1400,2958,1400,0
595000,3370,14402,3370,0
515000,3590,8249,3590,0
1.22E+06,3200,15367,3200,0
507000,1670,6460,1670,0
399950,2420,31465,2420,0
185000,1430,10816,1430,0
460000,1440,7070,1440,0
435500,1450,4789,1450,0
469000,3550,13938,2100,1450
531000,1270,1175,1110,160
443500,940,6804,940,0
223000,1670,6824,1300,370
590000,3100,15842,2400,700
340000,1100,1760,1100,0
650000,1870,3388,1230,640
533600,1930,5080,1930,0
695000,2540,4694,2540,0
242000,1280,7524,1280,0
425000,1820,8814,1280,540
525000,1490,9414,1490,0
485000,1880,5502,1880,0
175000,1250,9775,1250,0
210000,1440,7210,1440,0
260000,1920,7415,1920,0
577000,2060,5750,1330,730
200000,1210,10588,1210,0
605000,1760,5000,940,820
325000,990,6750,990,0
289500,960,6400,820,140
559950,1660,1458,1660,0
1.04E+06,1900,9375,1330,570
543500,1270,2790,990,280
480000,3250,34293,3250,0
218000,960,9633,960,0
565000,1330,6000,960,370
426700,2080,7700,1600,480
650000,2690,11575,2130,560
542000,890,3060,770,120
415000,1070,8000,1070,0
214000,1200,8316,1200,0
245000,1360,8910,1360,0
314500,2050,13303,2050,0
1.12E+06,3000,5750,2000,1000
378000,1300,3850,800,500
305000,2250,9091,1340,910
595000,3740,6750,1980,1760
729500,1660,1091,1530,130
430000,2360,6699,2360,0
240000,1760,6500,1150,610
545000,1680,6200,1680,0
530000,1320,2500,870,450
157000,870,26326,870,0
425000,1260,7645,1260,0
220000,1000,6020,1000,0
521000,2020,36400,1550,470
325000,1920,6862,1120,800
597500,2150,5400,1380,770
337000,1470,3976,1470,0
1.00E+06,3180,10492,3180,0
3.07E+06,3930,55867,2330,1600
495000,990,6000,990,0
748000,2770,3330,1970,800
888000,1250,8710,1250,0
269900,1140,22267,1140,0
496500,2250,14440,1550,700
475000,1640,5097,1640,0
312000,1255,1374,1255,0
323000,1290,12231,1290,0
331000,1300,9079,1300,0
306000,1220,1086,1220,0
655000,2630,4000,2630,0
290000,1950,15954,1950,0
1.25E+06,3160,5000,2360,800
460000,1550,4708,860,690
435000,1700,6380,850,850
664000,2510,11880,1630,880
865000,1800,4180,1800,0
385000,1800,18000,1200,600
497000,1870,9315,1350,520
280000,1010,3000,1010,0
188000,1120,17487,1120,0
478500,2090,4755,1200,890
1.15E+06,4370,18361,4370,0
222000,1440,7187,970,470
799000,2580,209523,2580,0
609900,3190,7399,3190,0
413000,2380,5809,1750,630
400000,1420,4875,1420,0
802541,2990,6768,2990,0
320000,2680,7757,2680,0
507000,2730,7649,2730,0
387500,1220,8329,1220,0
396000,1500,12616,1500,0
373000,1830,11788,1430,400
1.48E+06,4570,19252,4570,0
359900,2470,7698,2470,0
410000,800,4342,670,130
690000,2900,23488,2900,0
245000,1410,5760,1410,0
700000,2830,25958,1610,1220
268000,1680,9966,1100,580
225000,1760,26055,920,840
980000,2240,11034,2240,0
795000,1380,5000,1380,0
195000,820,5100,820,0
480000,2180,10575,1730,450
485000,1400,3600,1100,300
130000,880,9000,880,0
325000,1060,5703,1060,0
440000,1530,7245,1530,0
550000,2480,14782,1460,1020
310000,1490,7150,1490,0
530000,3660,39478,3260,400
390000,2340,8548,2340,0
243000,1450,12125,1450,0
639000,2210,9875,2210,0
215000,1130,7400,1130,0
405000,1550,10500,1100,450
250000,1710,7140,1010,700
405500,1010,8108,1010,0
452000,2660,13579,2660,0
730000,2660,13579,2660,0
267000,1300,9644,1300,0
289950,1670,6186,1670,0
565000,960,4080,960,0
1.58E+06,4670,51836,4670,0
636000,2140,2770,1770,370
350000,2520,5500,1550,970
320000,1650,9380,1130,520
210000,1440,5680,1440,0
245000,1050,5900,1050,0
328000,1470,7650,1130,340
985000,4230,37769,4230,0
501000,1970,7972,1370,600
315000,1540,17424,1540,0
403000,2090,8354,2090,0
550000,2380,17950,2110,270
347500,2156,3562,2156,0
365000,2070,8893,2070,0
588000,1910,8167,1270,640
605000,1920,7400,1260,660
1.30E+06,3400,5979,2290,1110
233000,1400,9177,1400,0
360000,2210,17715,2210,0
459000,1170,4887,1020,150
740000,2100,72745,2100,0
305000,1160,9750,1160,0
395000,1500,4000,900,600
560000,2940,6000,2940,0
650000,2010,5070,1300,710
449950,2170,4912,2170,0
517500,1430,5200,1250,180
435000,1510,6460,1070,440
329999,1150,6908,800,350
950000,2150,4200,1140,1010
447000,1370,6001,1230,140
699800,2380,6600,2380,0
850000,1370,3850,770,600
316500,1600,14250,1070,530
942500,3750,9612,2030,1720
1.31E+06,3950,3938,2910,1040
856600,2400,13430,2400,0
405600,2830,4000,2830,0
565000,2440,22594,2440,0
400000,1190,1149,1050,140
330000,1400,218252,1400,0
374950,2730,4683,2730,0
405300,2390,7939,1610,780
560000,2060,31400,2060,0
824000,2490,9864,1290,1200
260000,1100,10968,1100,0
760000,2430,6099,1470,960
405000,3170,12750,2360,810
429900,2640,8625,2640,0
341500,1130,7223,1130,0
465250,1940,7642,1940,0
450000,1100,3000,1100,0
390000,1200,10800,1200,0
420000,2000,8030,1000,1000
269950,1890,4838,1730,160
493000,1910,2874,1060,850
370000,2710,5880,2710,0
2.25E+06,4860,9453,3100,1760
305000,1250,23680,1250,0
400000,1590,8219,970,620
320000,1240,1221,1050,190
715000,2000,4800,2000,0
650000,3610,10003,3610,0
218000,1930,8040,1930,0
500000,1280,5400,1280,0
460000,2090,40419,2090,0
232500,1940,9887,1140,800
408200,1800,5761,1800,0
522000,1730,8400,1400,330
675000,2810,11120,2810,0
1.36E+06,3550,11000,2260,1290
249950,1330,7980,1330,0
210000,750,34133,750,0
429950,1760,7216,1090,670
737500,3200,36276,3200,0
710000,1740,9000,1740,0
470000,2100,4700,2100,0
1.10E+06,4270,40097,4270,0
650000,1340,2720,1340,0
1.22E+06,3190,8684,1680,1510
422120,1630,4534,1630,0
625000,2990,15085,2990,0
385200,1550,7740,1550,0
500000,1690,4964,1690,0
308000,1960,12243,1960,0
565000,2390,9966,1360,1030
581000,2600,4438,2600,0
361000,1950,8698,1950,0
345000,1250,7210,1250,0
419000,1180,1253,840,340
347000,1680,4308,1680,0
625000,2220,36085,2220,0
2.40E+06,4890,15188,3090,1800
379000,2660,17852,2660,0
310000,1150,3323,1150,0
250000,1130,5500,1130,0
682000,2760,5000,2760,0
246500,1430,8919,1430,0
325000,1490,57381,1490,0
310950,2030,4997,2030,0
1.10E+06,3010,5000,1890,1120
287500,1810,7200,1130,680
431000,1810,7200,1130,680
226000,970,5000,970,0
825000,2010,3090,1510,500
175000,1300,6030,1300,0
465750,1260,10350,1260,0
659000,2610,24931,2610,0
595000,1910,5753,1110,800
350000,1780,16290,1780,0
270000,1900,8600,1900,0
662500,2450,25600,1340,1110
249900,1380,14000,1380,0
324500,1920,11340,1230,690
430000,1350,4003,1350,0
419950,1350,4003,1350,0
285000,2510,7440,1290,1220
332000,2470,7780,2470,0
282000,1660,10725,960,700
320000,1340,5175,940,400
428750,1620,30736,1620,0
330000,2300,35287,2300,0
456500,2000,2309,2000,0
352000,1640,11050,1640,0
664000,1530,4080,1530,0
628000,4000,11894,2190,1810
512000,1610,12555,1080,530
254000,2070,9000,1450,620
535800,1900,5790,1900,0
287653,1050,16050,1050,0
438000,1520,1304,1180,340
450000,2390,23899,1750,640
327000,2400,8050,2400,0
370500,1790,6120,1790,0
265000,1720,6271,1720,0
450000,2980,13260,1800,1180
425000,1520,213444,1520,0
166600,1150,8690,1150,0
245000,380,15000,380,0
565000,910,5212,910,0
539900,1650,10150,1230,420
910000,2480,3200,2480,0
280000,2050,7416,2050,0
275000,1420,8549,1420,0
467000,3460,6590,3460,0
457500,1500,4445,1500,0
381156,1320,3090,1320,0
289999,2180,8240,1220,960
642450,1830,4160,1230,600
469950,1620,8701,1220,400
795000,2920,13650,1460,1460
785000,3300,10514,3300,0
860000,3060,12095,3060,0
1.10E+06,3064,4764,3064,0
147500,1530,8498,1530,0
390000,1910,11576,1410,500
229000,1020,8100,1020,0
185000,1150,8100,1150,0
414900,1260,9570,870,390
200000,1920,4822,920,1000
225000,1800,9350,1800,0
720000,2040,4000,1360,680
930000,2200,4000,1430,770
1.27E+06,3200,17204,2160,1040
700000,2400,3118,1780,620
466000,1140,1058,1140,0
374000,1330,10640,1330,0
480000,1940,10035,1940,0
740000,3000,25341,3000,0
1.01E+06,1820,5400,1820,0
395000,2910,5000,2910,0
340000,1090,6771,1090,0
209000,1230,1340,1020,210
431650,1710,7700,1710,0
980000,3160,11470,1780,1380
660000,2680,28243,2680,0
730000,2190,9009,1840,350
291500,1260,9600,1260,0
905000,2970,14486,2340,630
800000,2570,50308,2570,0
839900,3810,13592,2560,1250
200000,1010,1157,950,60
300000,1480,6698,1080,400
530000,1250,6041,1250,0
314950,1654,8479,1654,0
255000,1410,9315,1410,0
550000,2160,5720,1500,660
435000,1400,4800,700,700
234000,1420,8738,1420,0
615000,2500,10062,1600,900
205000,1410,8384,1410,0
384000,2100,7135,1050,1050
324000,1750,7208,1750,0
645000,2070,5500,1130,940
570000,1570,1777,1260,310
324000,1920,5322,1920,0
270000,1000,10320,1000,0
290000,2120,7700,2120,0
250000,1440,9220,1440,0
342000,1660,16275,1660,0
255000,1340,8450,1340,0
800000,2380,11824,1450,930
451000,1560,4049,1000,560
990000,2780,10480,1390,1390
288400,1860,6687,1220,640
420000,2390,4600,1750,640
359000,1370,1140,1080,290
390000,2570,262018,1420,1150
300000,1320,2614,1320,0
545000,2520,7863,1500,1020
288349,1250,18616,1250,0
299900,1560,35026,1290,270
891000,2330,5000,1720,610
1.20E+06,3660,22410,1830,1830
378000,2790,4650,2790,0
299995,1060,7200,1060,0
253000,2020,6564,1310,710
350000,1580,47916,1580,0
565000,2020,4300,2020,0
315000,970,5665,970,0
570000,1490,6766,1490,0
971000,4390,10140,3350,1040
915000,2750,5589,1840,910
419000,2150,23568,2150,0
260000,1810,7480,1230,580
1.32E+06,2230,12968,2230,0
369950,2430,10720,2430,0
1.03E+06,3680,13384,3680,0
435000,1410,6750,1410,0
601000,1330,6743,1330,0
460500,1490,10650,1150,340
720000,2020,1159,2020,0
851000,3130,13202,3130,0
550000,2670,5000,2670,0
700000,1980,4560,1980,0
323000,2100,14850,2100,0
345500,1350,8581,1350,0
378000,2140,7920,1190,950
650000,2208,5000,2208,0
385000,1010,7380,1010,0
425000,970,2970,970,0
210000,1520,6174,1520,0
630000,2740,43101,2740,0
335000,1570,7500,1300,270
196500,1320,9000,1320,0
582800,2550,7636,1440,1110
440000,1560,7207,1250,310
752500,2360,8616,2360,0
532500,1330,5000,1210,120
265000,1070,9000,1070,0
397500,1510,13737,810,700
524250,1710,3469,1710,0
765000,2790,10819,2790,0
648000,2620,5450,2620,0
469500,2970,24759,1670,1300
237500,1050,7854,1050,0
216000,1280,8712,1280,0
427200,1030,8400,1030,0
280000,1900,7800,1390,510
